return_id,order_item_id,return_date,reason,refund_amount
60,880942,2025-04-20,Changed Mind,57.28
61,1439232,2025-12-25,Defective,1667.94
62,1575695,2025-12-31,Changed Mind,146.48
63,1955619,2024-02-08,Changed Mind,1758.39
64,1555500,2025-10-31,Not as Described,763.28
65,1028728,2024-08-15,Late Delivery,711.46
66,1193287,2024-11-28,Defective,1468.94
67,1115040,2024-08-13,Late Delivery,940.55
68,1951833,2023-08-28,Wrong Item,1132.9
69,232589,2025-12-25,Wrong Item,338.37
70,1372101,2023-04-20,Not as Described,3385.68
71,573228,2023-03-11,Defective,866.85
72,531917,2024-12-04,Wrong Item,1598.8
73,1340551,2025-09-17,Changed Mind,2973.76
74,1651220,2025-07-30,Changed Mind,480.3
75,2011239,2024-03-10,Changed Mind,2400.8
76,1537622,2023-12-16,Not as Described,3314.9
77,706812,2024-04-24,Late Delivery,3410.1
78,2017620,2023-02-04,Not as Described,4423.3
79,1376037,2024-03-06,Late Delivery,1408.32
80,360826,2025-12-24,Defective,2082.18
81,464366,2025-10-06,Late Delivery,1723.2
82,143100,2025-12-30,Wrong Item,1159.96
83,1743226,2025-10-24,Late Delivery,1436.85
84,1612447,2025-10-01,Wrong Item,365.08
85,6525,2025-12-12,Not as Described,404.1
86,653160,2025-12-31,Wrong Item,75.7
87,1705161,2025-03-10,Wrong Item,4312.3
88,234383,2025-01-07,Defective,113.36
89,326898,2024-01-04,Changed Mind,1177.34
90,886438,2023-02-28,Not as Described,2645.49
91,1579688,2024-12-22,Defective,730.92
92,570867,2025-01-20,Changed Mind,1894.29
93,1670853,2025-06-25,Defective,831.64
94,1687295,2024-12-25,Changed Mind,472.45
95,625360,2024-12-19,Defective,3035.04
96,748090,2023-09-23,Not as Described,703.28
97,49271,2023-11-26,Wrong Item,1616.97
98,4839,2025-03-28,Wrong Item,1076.44
99,2091111,2025-08-08,Not as Described,733.25
100,2159376,2024-12-02,Defective,443.62
101,1739771,2024-08-07,Defective,595.5
102,20332,2023-11-26,Late Delivery,827.22
103,609325,2024-12-22,Not as Described,2803.17
104,1412679,2023-07-05,Late Delivery,429.22
105,1823901,2025-12-11,Wrong Item,1368.39
106,234602,2024-06-04,Not as Described,1837.05
107,1321761,2025-04-07,Changed Mind,1388.2
108,2105905,2025-12-31,Wrong Item,372.77
109,643016,2023-10-31,Late Delivery,973.94
110,1715967,2025-07-23,Late Delivery,2031.29
111,188025,2025-04-27,Wrong Item,2954.28
112,360046,2024-02-02,Defective,1757.85
113,1173117,2025-12-02,Wrong Item,408.32
114,22161,2023-12-17,Changed Mind,773.72
115,1278681,2024-01-03,Late Delivery,2267.23
116,1299997,2024-12-03,Defective,167.88
117,1980778,2023-01-20,Defective,4079.92
118,1674972,2024-04-11,Late Delivery,781.1
119,1248179,2023-06-14,Late Delivery,4166.45
120,735990,2024-11-29,Changed Mind,246.84
121,270656,2025-01-24,Wrong Item,185.56
122,2149215,2024-03-28,Not as Described,1075.8
123,1349465,2023-03-23,Late Delivery,982.44
124,1674924,2024-05-03,Changed Mind,601.8
125,777116,2024-08-01,Wrong Item,2319.2
126,1634886,2024-04-26,Not as Described,571.38
127,410095,2024-12-09,Defective,65.66
128,1544029,2025-09-17,Defective,2151.48
129,1631167,2025-10-26,Late Delivery,2485.08
130,750693,2025-05-17,Changed Mind,280.05
131,1920139,2025-11-10,Changed Mind,3672.5
132,553558,2025-11-21,Late Delivery,580.07
133,1433812,2025-08-25,Late Delivery,3456.32
134,1799585,2025-12-20,Not as Described,13.56
135,2092507,2023-08-11,Not as Described,1777.95
136,503876,2025-08-02,Late Delivery,3622.04
137,1640159,2024-12-09,Wrong Item,391.91
138,1712015,2024-11-30,Changed Mind,390.1
139,1955686,2023-11-20,Defective,417.96
140,282242,2024-05-13,Wrong Item,1529.3
141,1939461,2024-05-12,Not as Described,45.87
142,1128197,2023-11-24,Changed Mind,626.85
143,2201840,2023-12-31,Not as Described,204.23
144,1732778,2023-09-19,Wrong Item,661.3
145,1745080,2024-07-06,Not as Described,142.88
146,430341,2025-12-24,Changed Mind,3351.52
147,825692,2025-04-22,Late Delivery,653.76
148,119190,2024-11-29,Changed Mind,254.01
149,1841404,2023-12-28,Defective,229.58
150,1395571,2025-01-23,Not as Described,279.98
151,2153864,2024-11-19,Defective,166.41
152,559838,2023-01-14,Changed Mind,886.52
153,362647,2024-12-15,Not as Described,842.22
154,1539070,2023-03-09,Not as Described,1220.45
155,520387,2023-07-16,Wrong Item,1643.58
156,72088,2024-02-13,Late Delivery,1750.72
157,2181281,2023-12-10,Not as Described,20.34
158,1021523,2025-04-25,Late Delivery,156.77
159,2024004,2025-02-27,Defective,4018.9
160,46727,2025-01-08,Wrong Item,110.84
161,1782465,2025-09-23,Changed Mind,2433.0
162,190093,2025-07-31,Defective,1251.32
163,396734,2024-12-21,Wrong Item,273.21
164,1427538,2023-07-18,Changed Mind,1133.14
165,401932,2024-06-05,Changed Mind,240.31
166,408352,2023-11-22,Late Delivery,1586.76
167,1220171,2024-05-23,Not as Described,477.97
168,2069091,2025-12-31,Changed Mind,602.65
169,1398405,2025-07-13,Not as Described,476.86
170,167861,2023-07-18,Changed Mind,170.34
171,1790268,2024-09-10,Not as Described,650.83
172,1569796,2023-06-05,Late Delivery,800.66
173,329516,2025-11-19,Defective,459.16
174,1077502,2024-02-11,Defective,684.02
175,428417,2025-12-14,Changed Mind,1318.47
176,1077675,2025-07-27,Defective,318.47
177,803105,2023-02-24,Wrong Item,339.1
178,890396,2023-02-11,Wrong Item,951.88
179,86451,2025-12-12,Wrong Item,1913.05
180,301707,2025-09-11,Changed Mind,430.5
181,644520,2023-11-22,Defective,49.5
182,2180245,2024-10-31,Late Delivery,4315.7
183,1803413,2024-05-14,Defective,378.01
184,867829,2025-12-13,Defective,395.97
185,653468,2023-09-26,Changed Mind,432.84
186,519495,2024-04-27,Late Delivery,1981.84
187,1463153,2025-11-07,Not as Described,1676.97
188,2169790,2025-06-26,Wrong Item,221.86
189,672941,2024-02-18,Late Delivery,1863.16
190,805790,2024-10-27,Wrong Item,444.14
191,852691,2023-04-29,Wrong Item,2606.35
192,1701891,2025-05-11,Changed Mind,13.56
193,2081514,2023-07-30,Not as Described,135.99
194,1936280,2024-02-10,Not as Described,372.37
195,2043481,2023-12-20,Late Delivery,353.32
196,1671264,2024-09-27,Wrong Item,92.68
197,326563,2024-01-07,Not as Described,818.72
198,730868,2025-12-31,Not as Described,1121.36
199,527150,2025-12-05,Changed Mind,348.71
200,1742431,2024-12-06,Wrong Item,756.42
201,1452525,2024-12-08,Not as Described,3037.92
202,2022326,2025-11-02,Not as Described,2428.32
203,109377,2025-10-16,Defective,4043.6
204,130908,2024-10-12,Wrong Item,1470.63
205,740822,2025-12-21,Not as Described,588.75
206,2188597,2024-07-10,Defective,1046.44
207,464426,2025-12-31,Changed Mind,625.1
208,2026195,2025-03-04,Late Delivery,1159.74
209,694461,2025-12-31,Wrong Item,391.08
210,1267213,2024-12-08,Changed Mind,672.56
211,315860,2024-09-21,Not as Described,1252.67
212,2065463,2024-10-16,Late Delivery,2680.11
213,140205,2024-10-22,Late Delivery,95.28
214,1495853,2024-12-29,Defective,497.4
215,1968611,2024-01-10,Changed Mind,2206.75
216,519781,2023-08-30,Changed Mind,1071.15
217,406445,2025-02-12,Late Delivery,414.66
218,2239038,2023-03-26,Late Delivery,1888.24
219,2249200,2025-01-01,Late Delivery,3567.34
220,2158766,2024-08-24,Changed Mind,1762.6
221,476802,2025-12-31,Changed Mind,1050.35
222,595409,2024-10-11,Changed Mind,789.73
223,631409,2023-04-15,Not as Described,72.82
224,760069,2025-01-17,Wrong Item,1061.05
225,829202,2024-11-30,Not as Described,3204.4
226,1477800,2025-07-11,Not as Described,467.01
227,2031613,2025-08-23,Changed Mind,4017.4
228,41346,2023-12-15,Late Delivery,793.81
229,1193324,2025-12-03,Defective,247.82
230,875932,2024-11-12,Defective,238.93
231,1915136,2024-11-18,Late Delivery,4096.8
232,1768882,2023-12-24,Wrong Item,697.52
233,1589149,2025-11-22,Changed Mind,355.63
234,1612179,2024-12-28,Changed Mind,468.34
235,1650508,2025-10-29,Changed Mind,796.83
236,2024116,2024-03-12,Changed Mind,47.5
237,49539,2024-11-15,Changed Mind,581.94
238,337806,2025-09-29,Late Delivery,242.7
239,993380,2023-11-17,Not as Described,492.69
240,23568,2023-07-14,Defective,691.98
241,1748342,2023-10-09,Defective,2603.35
242,1680303,2025-06-21,Late Delivery,494.73
243,808888,2025-02-01,Changed Mind,201.12
244,1914566,2024-01-02,Changed Mind,858.09
245,1300884,2024-12-26,Not as Described,493.08
246,1263171,2023-12-13,Late Delivery,592.58
247,1229222,2025-01-02,Late Delivery,116.1
248,2215041,2023-05-11,Wrong Item,2766.96
249,234427,2025-06-07,Late Delivery,3772.07
250,1289478,2025-09-27,Not as Described,493.7
251,1299270,2024-12-03,Not as Described,346.35
252,608575,2025-09-17,Late Delivery,230.5
253,646227,2023-11-21,Defective,284.71
254,393552,2023-04-08,Late Delivery,274.41
255,1223452,2023-06-03,Defective,1766.96
256,1994366,2024-09-02,Defective,581.56
257,387158,2025-07-25,Defective,3010.71
258,1566107,2025-12-18,Not as Described,1386.2
259,64004,2025-10-03,Late Delivery,590.85
260,589388,2023-12-12,Late Delivery,85.89
261,288916,2023-05-15,Late Delivery,496.11
262,1319372,2023-03-21,Changed Mind,888.28
263,864169,2024-06-20,Late Delivery,56.85
264,421555,2025-12-29,Not as Described,330.99
265,693040,2023-02-08,Not as Described,2896.95
266,5161,2023-10-02,Defective,897.21
267,743265,2024-11-06,Wrong Item,551.56
268,1505609,2025-12-10,Wrong Item,1365.24
269,1377471,2025-01-10,Defective,2251.17
270,17691,2025-11-20,Late Delivery,252.76
271,1736491,2023-02-18,Wrong Item,823.74
272,376167,2025-11-17,Wrong Item,1907.05
273,1996708,2024-12-08,Late Delivery,587.52
274,389808,2024-01-28,Late Delivery,3709.28
275,322176,2024-09-11,Wrong Item,860.45
276,1846449,2023-06-04,Changed Mind,18.34
277,1450668,2023-01-16,Late Delivery,815.24
278,2112753,2024-01-29,Not as Described,33.36
279,1755244,2025-12-18,Changed Mind,15.0
280,1562908,2023-12-10,Changed Mind,23.55
281,734930,2023-10-26,Wrong Item,245.0
282,2018504,2025-07-08,Not as Described,540.28
283,1814424,2024-05-04,Not as Described,899.82
284,281814,2025-12-31,Defective,1517.68
285,1265828,2024-11-16,Defective,2261.1
286,90926,2024-01-28,Late Delivery,698.13
287,2223989,2024-03-01,Changed Mind,2209.4
288,282209,2025-03-21,Not as Described,589.81
289,1252542,2024-06-13,Late Delivery,1733.25
290,783257,2023-12-23,Wrong Item,876.4
291,2021082,2025-10-23,Not as Described,153.99
292,2195109,2024-08-21,Wrong Item,537.31
293,1988319,2024-08-31,Late Delivery,806.84
294,1783014,2025-12-11,Wrong Item,480.7
295,1776049,2024-12-18,Late Delivery,791.9
296,2099780,2024-11-06,Late Delivery,2287.08
297,884458,2024-11-28,Changed Mind,518.9
298,235040,2024-02-03,Not as Described,1507.11
299,804625,2025-03-08,Defective,355.26
300,1084282,2025-12-18,Not as Described,1144.6
301,1794779,2025-12-31,Defective,227.18
302,1643227,2025-11-29,Wrong Item,2192.16
303,1856012,2025-08-12,Not as Described,1156.69
304,638680,2023-11-12,Late Delivery,51.2
305,134301,2025-05-11,Not as Described,842.22
306,2001648,2024-01-16,Changed Mind,36.72
307,190883,2024-12-20,Not as Described,2822.6
308,2224490,2024-01-21,Wrong Item,285.15
309,1944904,2024-11-20,Late Delivery,722.08
310,895420,2025-03-27,Not as Described,3058.8
311,1123547,2024-12-29,Late Delivery,689.31
312,1664750,2025-11-29,Defective,627.72
313,405452,2024-02-11,Late Delivery,1214.25
314,109286,2023-10-24,Wrong Item,503.2
315,267439,2023-10-28,Defective,1695.06
316,908684,2023-12-18,Wrong Item,358.7
317,1599278,2025-05-07,Not as Described,844.72
318,1313672,2025-01-18,Not as Described,1274.2
319,1079477,2023-01-26,Not as Described,1002.75
320,2023529,2024-12-25,Not as Described,2072.25
321,130421,2024-12-23,Not as Described,295.06
322,584055,2023-07-08,Not as Described,1610.28
323,428162,2025-11-29,Not as Described,1425.18
324,1158050,2024-05-14,Changed Mind,1876.3
325,1538885,2023-11-27,Defective,1754.45
326,1661387,2024-12-03,Defective,475.5
327,2185469,2024-06-02,Defective,675.41
328,1684198,2025-06-27,Not as Described,1335.56
329,164978,2024-10-28,Changed Mind,840.88
330,1354191,2024-03-16,Late Delivery,2065.65
331,2087429,2023-05-07,Wrong Item,1888.26
332,1781945,2025-12-16,Defective,3168.51
333,1549391,2023-09-19,Changed Mind,1815.34
334,1723490,2025-03-27,Not as Described,1470.7
335,1288088,2023-12-22,Wrong Item,1452.76
336,315006,2023-01-29,Late Delivery,771.58
337,1895861,2024-04-14,Changed Mind,2571.56
338,349200,2023-12-15,Defective,2846.28
339,1102838,2025-08-23,Late Delivery,415.95
340,505684,2025-12-16,Wrong Item,1621.86
341,824437,2023-01-08,Late Delivery,2824.2
342,1740397,2025-10-04,Defective,37.92
343,743695,2024-11-04,Defective,290.46
344,1486888,2024-06-17,Not as Described,1261.95
345,2082656,2025-03-30,Defective,366.48
346,1681283,2024-02-29,Not as Described,799.65
347,1989081,2024-09-30,Defective,397.75
348,857052,2024-11-02,Not as Described,3071.25
349,439862,2025-09-30,Changed Mind,544.4
350,1759843,2023-05-31,Changed Mind,697.38
351,841802,2025-10-27,Wrong Item,1368.2
352,539928,2024-02-27,Changed Mind,404.6
353,1765210,2024-06-12,Defective,432.36
354,1047951,2024-04-15,Not as Described,3300.2
355,858738,2025-12-07,Late Delivery,1331.96
356,494157,2023-05-10,Changed Mind,1282.79
357,1270580,2025-11-27,Not as Described,943.33
358,1223114,2025-12-12,Late Delivery,322.93
359,1010260,2025-09-24,Defective,2883.84
360,779039,2025-02-22,Defective,1321.84
361,1689301,2024-10-02,Changed Mind,259.44
362,1520427,2025-10-29,Not as Described,468.95
363,1579573,2024-12-12,Changed Mind,1961.84
364,561382,2024-07-17,Late Delivery,43.86
365,1295771,2023-11-18,Changed Mind,384.78
366,983885,2025-10-13,Late Delivery,329.65
367,160589,2023-04-05,Not as Described,1891.44
368,1062194,2025-01-13,Changed Mind,643.11
369,1863252,2024-12-30,Wrong Item,677.64
370,122938,2024-01-09,Not as Described,1868.65
371,601442,2024-03-21,Defective,3135.69
372,438371,2025-04-22,Wrong Item,3090.4
373,817564,2025-05-05,Defective,2627.18
374,308478,2024-09-02,Late Delivery,86.83
375,1508593,2025-01-07,Late Delivery,1723.9
376,661189,2024-11-19,Wrong Item,2416.75
377,2051897,2023-09-22,Late Delivery,510.66
378,1155238,2024-03-31,Wrong Item,1959.92
379,567455,2025-06-28,Defective,1916.07
380,636586,2024-07-05,Wrong Item,1315.96
381,587846,2025-09-24,Not as Described,2418.73
382,134673,2025-05-26,Defective,1987.6
383,1649555,2024-03-17,Defective,533.19
384,1216845,2023-11-10,Late Delivery,1108.96
385,228294,2024-09-04,Defective,1970.66
386,2145213,2024-01-19,Defective,515.37
387,1126351,2025-06-24,Defective,2784.55
388,507291,2023-11-15,Late Delivery,720.4
389,1572809,2024-04-30,Not as Described,769.52
390,1070876,2025-05-24,Wrong Item,262.05
391,653935,2023-12-29,Not as Described,333.72
392,404905,2023-10-13,Late Delivery,1049.97
393,1654158,2025-05-18,Changed Mind,298.14
394,247198,2023-09-03,Defective,205.32
395,75683,2025-12-31,Changed Mind,2328.16
396,1076088,2023-05-06,Changed Mind,1120.65
397,1763499,2024-01-24,Wrong Item,2881.36
398,2014670,2024-06-25,Late Delivery,201.75
399,1442151,2024-06-01,Changed Mind,94.68
400,1794964,2024-10-19,Not as Described,1137.06
401,1786286,2023-06-18,Changed Mind,372.44
402,44718,2023-10-14,Late Delivery,437.04
403,486616,2025-01-04,Wrong Item,149.82
404,607220,2023-10-12,Late Delivery,813.56
405,419981,2025-08-20,Not as Described,154.52
406,827759,2025-02-09,Changed Mind,3637.3
407,2033805,2025-02-28,Defective,1106.52
408,1698412,2024-01-20,Not as Described,3219.0
409,897841,2024-04-01,Late Delivery,673.05
410,1587426,2023-10-07,Late Delivery,1765.06
411,1602370,2023-04-14,Not as Described,950.8
412,1054891,2023-03-23,Not as Described,3415.72
413,2246648,2023-09-11,Defective,3682.04
414,1034589,2024-07-31,Not as Described,98.44
415,1374148,2024-11-28,Defective,2425.52
416,1304125,2023-12-12,Not as Described,584.96
417,1329132,2023-08-12,Defective,1180.86
418,1185481,2024-12-24,Not as Described,16.91
419,2239115,2024-04-13,Defective,1470.56
420,2043231,2024-09-21,Not as Described,172.45
421,1425042,2023-09-24,Changed Mind,592.54
422,1684772,2023-09-17,Not as Described,2615.76
423,1425081,2023-04-23,Not as Described,1471.02
424,514738,2025-09-12,Late Delivery,983.56
425,2089111,2023-12-31,Wrong Item,578.66
426,187508,2024-11-28,Wrong Item,3299.08
427,1800912,2025-10-27,Defective,42.84
428,1452107,2025-08-20,Not as Described,16.16
429,937599,2023-09-20,Changed Mind,1831.8
430,1489044,2025-12-03,Changed Mind,2533.0
431,1953433,2023-11-17,Wrong Item,2138.19
432,1497986,2024-08-25,Changed Mind,4993.7
433,697590,2023-02-20,Late Delivery,787.45
434,1736509,2024-05-21,Not as Described,734.06
435,242754,2023-11-06,Not as Described,2258.9
436,580601,2023-08-07,Not as Described,1047.39
437,1177089,2023-02-05,Changed Mind,1042.54
438,398543,2025-12-05,Not as Described,278.68
439,1256343,2025-12-11,Changed Mind,252.9
440,815674,2024-01-21,Not as Described,1852.62
441,1372247,2024-12-05,Not as Described,32.91
442,1615460,2024-09-05,Late Delivery,807.55
443,608012,2024-04-15,Changed Mind,2019.51
444,1508273,2024-01-02,Changed Mind,1411.76
445,2113757,2025-10-20,Defective,705.38
446,521990,2023-06-03,Not as Described,745.48
447,341750,2025-04-30,Wrong Item,723.84
448,1211994,2023-03-22,Late Delivery,595.65
449,458589,2025-03-21,Wrong Item,688.68
450,379188,2023-10-06,Wrong Item,1495.5
451,1464335,2024-01-31,Defective,3800.0
452,1420265,2024-02-19,Changed Mind,2036.3
453,1633327,2025-07-17,Wrong Item,161.84
454,53622,2024-07-08,Late Delivery,48.51
455,1555245,2024-06-26,Late Delivery,1052.28
456,113237,2025-07-27,Defective,595.68
457,306423,2025-04-29,Not as Described,488.74
458,389175,2024-11-16,Not as Described,250.96
459,223691,2025-09-22,Defective,980.37
460,1638639,2024-07-09,Not as Described,786.24
461,1610297,2025-05-17,Late Delivery,531.68
462,513926,2023-11-09,Not as Described,702.23
463,329652,2025-12-21,Changed Mind,1920.0
464,861195,2024-07-21,Changed Mind,722.78
465,1550797,2025-12-31,Wrong Item,415.4
466,409219,2025-11-16,Defective,1829.62
467,713091,2025-10-25,Wrong Item,69.65
468,1806879,2024-09-25,Late Delivery,1908.81
469,2177989,2024-11-30,Late Delivery,1289.52
470,1495597,2023-12-29,Late Delivery,521.13
471,1067947,2024-06-13,Changed Mind,1641.18
472,572744,2025-11-26,Defective,564.04
473,1980758,2025-06-05,Late Delivery,68.45
474,395571,2025-12-31,Not as Described,388.28
475,79792,2023-04-05,Changed Mind,600.18
476,1861411,2023-01-19,Defective,2021.6
477,191831,2025-12-23,Changed Mind,1299.15
478,1995932,2025-12-27,Late Delivery,276.6
479,643276,2023-05-20,Changed Mind,882.42
480,1090520,2025-11-22,Defective,881.6
481,480322,2025-01-25,Defective,1124.94
482,2018116,2025-12-24,Defective,2439.9
483,1070549,2023-01-15,Wrong Item,1146.9
484,189261,2025-11-27,Not as Described,766.98
485,162944,2025-12-12,Late Delivery,940.15
486,847849,2024-08-27,Defective,1292.44
487,1634492,2024-06-21,Changed Mind,34.09
488,68319,2024-03-31,Changed Mind,859.35
489,1761277,2025-08-14,Not as Described,874.22
490,1996967,2024-11-01,Changed Mind,387.28
491,988043,2025-12-01,Not as Described,1771.32
492,1963217,2025-03-25,Wrong Item,1035.28
493,424723,2025-09-15,Changed Mind,2579.0
494,2171318,2024-02-02,Changed Mind,3339.15
495,633971,2025-11-26,Defective,434.63
496,2010693,2025-12-31,Wrong Item,1292.28
497,571381,2023-05-01,Changed Mind,610.18
498,1316231,2023-09-03,Changed Mind,1115.43
499,2240162,2023-02-11,Late Delivery,1936.76
500,1166636,2023-06-10,Late Delivery,1917.39
501,1981666,2024-02-08,Late Delivery,93.48
502,1788019,2025-09-30,Not as Described,85.92
503,1928583,2025-07-27,Not as Described,409.11
504,926062,2025-01-22,Wrong Item,299.82
505,749827,2025-07-19,Late Delivery,1002.8
506,235687,2025-12-10,Not as Described,426.29
507,262310,2023-10-02,Wrong Item,791.26
508,1159026,2025-06-03,Not as Described,948.45
509,1129064,2025-12-31,Wrong Item,565.09
510,1407883,2024-03-29,Changed Mind,278.42
511,1715481,2023-04-15,Late Delivery,256.37
512,810554,2024-10-03,Late Delivery,3562.64
513,1925322,2025-09-23,Wrong Item,1502.93
514,1514865,2025-07-28,Changed Mind,1577.96
515,1860171,2024-12-13,Changed Mind,2430.57
516,715119,2025-08-11,Defective,295.99
517,1008945,2025-03-07,Defective,3062.88
518,796067,2023-02-03,Defective,80.19
519,126469,2025-08-22,Defective,1847.12
520,317769,2024-05-24,Wrong Item,2551.22
521,203070,2025-04-22,Changed Mind,2435.76
522,2170368,2025-01-28,Changed Mind,538.04
523,375808,2024-06-22,Changed Mind,2105.7
524,487637,2023-07-01,Late Delivery,1102.7
525,1031645,2023-03-18,Wrong Item,311.28
526,2112861,2024-12-31,Late Delivery,3142.75
527,1476948,2024-02-23,Changed Mind,1381.13
528,1914924,2025-11-24,Defective,478.02
529,252994,2023-05-04,Wrong Item,3507.45
530,1786723,2024-02-20,Changed Mind,491.85
531,2044697,2024-11-26,Wrong Item,1148.76
532,340013,2024-01-10,Late Delivery,3176.5
533,1285941,2025-05-29,Not as Described,1365.18
534,1716275,2025-03-30,Changed Mind,1080.4
535,581714,2025-01-18,Not as Described,1159.98
536,699561,2024-04-13,Defective,260.2
537,755878,2025-12-05,Late Delivery,1454.85
538,1954046,2025-03-23,Defective,735.42
539,760187,2023-08-20,Defective,518.92
540,1173657,2023-12-30,Late Delivery,581.6
541,2046707,2025-12-28,Late Delivery,13.83
542,509429,2023-03-09,Not as Described,1084.4
543,1372822,2025-12-31,Changed Mind,2952.05
544,1183282,2023-06-08,Changed Mind,101.44
545,1312371,2023-12-31,Late Delivery,1604.3
546,355392,2023-07-18,Changed Mind,432.65
547,1530247,2024-01-04,Defective,2186.71
548,1907133,2024-05-23,Changed Mind,2022.95
549,1995444,2024-06-26,Wrong Item,2876.75
550,304717,2025-04-02,Changed Mind,309.95
551,228350,2023-09-17,Not as Described,1361.9
552,1164168,2024-12-22,Late Delivery,1952.22
553,252406,2023-12-24,Defective,1653.88
554,990188,2024-02-23,Wrong Item,652.96
555,1406667,2024-02-29,Changed Mind,666.93
556,392338,2025-10-03,Not as Described,821.73
557,1702608,2023-12-12,Defective,2660.4
558,180078,2024-09-07,Defective,628.17
559,2221617,2023-12-10,Not as Described,513.85
560,1562397,2023-11-26,Wrong Item,720.56
561,2104501,2023-02-21,Defective,1106.84
562,894431,2023-05-10,Defective,669.72
563,1209623,2025-09-07,Wrong Item,792.52
564,306735,2025-08-15,Changed Mind,3630.68
565,144240,2024-07-21,Late Delivery,27.1
566,933474,2025-06-26,Late Delivery,332.79
567,228682,2024-11-29,Changed Mind,1514.85
568,1944521,2024-11-12,Defective,4483.65
569,1544039,2023-12-09,Not as Described,1048.84
570,443212,2023-06-13,Late Delivery,1278.6
571,711841,2025-05-16,Changed Mind,3325.04
572,1921726,2024-12-17,Not as Described,838.8
573,1088915,2025-10-20,Changed Mind,172.94
574,1588897,2023-11-20,Late Delivery,1598.01
575,1473851,2023-05-19,Defective,326.39
576,364810,2025-05-08,Defective,580.91
577,1685211,2025-05-18,Changed Mind,1158.5
578,1739349,2023-08-07,Late Delivery,2168.55
579,2058069,2024-06-18,Late Delivery,317.38
580,1197349,2023-11-07,Wrong Item,1046.4
581,649444,2024-12-20,Changed Mind,2843.25
582,1932010,2024-11-11,Changed Mind,1218.88
583,249483,2025-12-08,Wrong Item,1168.26
584,278961,2025-12-23,Wrong Item,3446.55
585,1429676,2023-01-21,Late Delivery,1687.8
586,1659386,2023-08-08,Wrong Item,886.68
587,143614,2023-11-15,Not as Described,1331.2
588,2047758,2024-05-11,Changed Mind,1106.46
589,162961,2025-03-24,Wrong Item,432.46
590,2190764,2025-03-10,Not as Described,859.31
591,273196,2025-08-03,Not as Described,735.68
592,425793,2024-11-23,Not as Described,1227.98
593,472713,2023-12-21,Defective,115.2
594,477387,2023-11-13,Changed Mind,2323.64
595,242965,2024-12-15,Wrong Item,360.2
596,1598638,2025-07-04,Not as Described,134.86
597,1864799,2023-11-18,Defective,2627.4
598,1412676,2023-06-21,Late Delivery,1975.59
599,1537175,2023-01-28,Not as Described,69.66
600,1726125,2024-09-12,Wrong Item,340.58
601,1984259,2024-01-20,Changed Mind,1425.0
